,First component,Second component,SOC,Label,Occupation Category
0,27.859667,8.317464,11-1011.00,11,Management
1,23.02663,12.482605,11-1011.03,11,Management
2,12.860274,-1.3257633,11-1021.00,11,Management
3,29.388271,15.064124,11-2011.00,11,Management
4,29.78687,13.61502,11-2021.00,11,Management
5,29.08055,3.4961739,11-2022.00,11,Management
6,30.457186,14.433574,11-2031.00,11,Management
7,13.254737,-2.2408159,11-3011.00,11,Management
8,14.252242,11.824285,11-3021.00,11,Management
9,26.043285,3.4619968,11-3031.01,11,Management
10,27.676626,5.948793,11-3031.02,11,Management
11,12.553849,4.1532106,11-3051.00,11,Management
12,10.787599,4.8713818,11-3051.01,11,Management
13,9.544459,2.8864357,11-3051.02,11,Management
14,10.408053,4.0332065,11-3051.03,11,Management
15,9.9825735,2.9758108,11-3051.04,11,Management
16,9.058352,3.5423656,11-3051.06,11,Management
17,28.722958,1.5808207,11-3061.00,11,Management
18,29.087969,5.3639355,11-3071.01,11,Management
19,11.91257,-2.1530838,11-3071.02,11,Management
20,29.035723,0.24571034,11-3071.03,11,Management
21,34.94601,2.3085506,11-3111.00,11,Management
22,31.011066,9.451565,11-3121.00,11,Management
23,31.435667,11.051571,11-3131.00,11,Management
24,7.246671,-0.7847835,11-9013.01,11,Management
25,7.2440085,0.75845987,11-9013.02,11,Management
26,6.1335425,-0.4070432,11-9013.03,11,Management
27,13.988165,3.7975395,11-9021.00,11,Management
28,33.444565,10.939299,11-9031.00,11,Management
29,32.13702,9.962603,11-9032.00,11,Management
30,30.138456,10.411984,11-9033.00,11,Management
31,25.120935,8.701056,11-9039.01,11,Management
32,14.819008,34.457485,11-9039.02,11,Management
33,15.45498,11.845058,11-9041.00,11,Management
34,-6.587734,27.39426,11-9041.01,11,Management
35,11.282011,-6.935237,11-9051.00,11,Management
36,14.317432,-3.2590744,11-9061.00,11,Management
37,15.053823,2.5996296,11-9071.00,11,Management
38,12.91578,-2.774098,11-9081.00,11,Management
39,29.838272,6.65862,11-9111.00,11,Management
40,18.565445,13.347596,11-9121.00,11,Management
41,20.381899,14.175636,11-9121.01,11,Management
42,5.1462355,24.755013,11-9121.02,11,Management
43,18.5963,1.264701,11-9131.00,11,Management
44,32.569386,-0.22860867,11-9141.00,11,Management
45,32.325203,10.997205,11-9151.00,11,Management
46,17.555063,31.644619,11-9161.00,11,Management
47,29.777433,1.8955581,11-9199.01,11,Management
48,28.748663,-2.799876,11-9199.02,11,Management
49,27.107853,5.5152707,11-9199.03,11,Management
50,28.547989,2.279304,11-9199.04,11,Management
51,10.214519,1.2566056,11-9199.07,11,Management
52,12.648968,1.2794801,11-9199.08,11,Management
53,10.023327,1.8282272,11-9199.09,11,Management
54,23.192648,13.287984,11-9199.10,11,Management
55,22.251743,12.227958,11-9199.11,11,Management
56,32.69255,14.338455,13-1011.00,13,Business and Financial Operations
57,19.37492,-4.6621227,13-1021.00,13,Business and Financial Operations
58,20.297974,-4.482213,13-1022.00,13,Business and Financial Operations
59,29.432287,-1.7535772,13-1023.00,13,Business and Financial Operations
60,29.008268,-3.8347015,13-1031.01,13,Business and Financial Operations
61,27.858774,-4.9517646,13-1031.02,13,Business and Financial Operations
62,17.373867,-6.9167237,13-1032.00,13,Business and Financial Operations
63,-24.921392,12.366801,13-1041.01,13,Business and Financial Operations
64,9.500315,-1.495597,13-1041.02,13,Business and Financial Operations
65,31.145693,8.5422945,13-1041.03,13,Business and Financial Operations
66,4.3219657,5.289662,13-1041.04,13,Business and Financial Operations
67,-23.261213,12.341643,13-1041.06,13,Business and Financial Operations
68,27.831944,-0.3661982,13-1041.07,13,Business and Financial Operations
69,27.011528,-2.1995907,13-1051.00,13,Business and Financial Operations
70,34.224453,1.8758744,13-1071.00,13,Business and Financial Operations
71,5.4280977,-30.63783,13-1074.00,13,Business and Financial Operations
72,31.76188,7.085868,13-1075.00,13,Business and Financial Operations
73,27.731428,3.7424812,13-1081.00,13,Business and Financial Operations
74,2.7013047,24.410622,13-1081.01,13,Business and Financial Operations
75,25.014055,-1.1166947,13-1081.02,13,Business and Financial Operations
76,20.775358,12.24928,13-1111.00,13,Business and Financial Operations
77,14.027063,-1.893949,13-1121.00,13,Business and Financial Operations
78,31.977432,14.260281,13-1131.00,13,Business and Financial Operations
79,29.849707,-2.9705553,13-1141.00,13,Business and Financial Operations
80,31.014677,34.521023,13-1151.00,13,Business and Financial Operations
81,17.194912,16.856323,13-1161.00,13,Business and Financial Operations
82,5.3193727,2.9033973,13-1199.01,13,Business and Financial Operations
83,-4.883165,18.915716,13-1199.02,13,Business and Financial Operations
84,30.282362,1.0623012,13-1199.03,13,Business and Financial Operations
85,21.264177,14.36035,13-1199.04,13,Business and Financial Operations
86,20.665077,15.444159,13-1199.05,13,Business and Financial Operations
87,32.621933,-1.4601144,13-1199.06,13,Business and Financial Operations
88,25.656744,-2.328975,13-2011.01,13,Business and Financial Operations
89,25.807146,-0.27166975,13-2011.02,13,Business and Financial Operations
90,18.621174,-7.419776,13-2021.01,13,Business and Financial Operations
91,18.216078,-6.932419,13-2021.02,13,Business and Financial Operations
92,26.718918,-1.0814304,13-2031.00,13,Business and Financial Operations
93,27.187822,-3.4383667,13-2041.00,13,Business and Financial Operations
94,11.25439,16.284151,13-2051.00,13,Business and Financial Operations
95,27.108496,1.784456,13-2052.00,13,Business and Financial Operations
96,30.275091,-3.7918038,13-2053.00,13,Business and Financial Operations
97,26.357164,1.3503249,13-2061.00,13,Business and Financial Operations
98,33.732456,3.728015,13-2071.00,13,Business and Financial Operations
99,33.279057,4.8056574,13-2071.01,13,Business and Financial Operations
100,34.963383,0.66016626,13-2072.00,13,Business and Financial Operations
101,28.275032,-6.3796697,13-2081.00,13,Business and Financial Operations
102,31.789543,-16.594097,13-2082.00,13,Business and Financial Operations
103,9.711903,16.772041,13-2099.01,13,Business and Financial Operations
104,25.375761,0.033903603,13-2099.02,13,Business and Financial Operations
105,19.269075,13.709625,13-2099.04,13,Business and Financial Operations
106,-2.0181139,28.90096,15-1111.00,15,Computers and Math
107,2.9094164,18.49922,15-1121.00,15,Computers and Math
108,7.6285944,28.49718,15-1121.01,15,Computers and Math
109,1.4359312,18.391888,15-1122.00,15,Computers and Math
110,2.654686,20.008224,15-1131.00,15,Computers and Math
111,1.7862273,20.478592,15-1132.00,15,Computers and Math
112,0.7629643,19.595858,15-1133.00,15,Computers and Math
113,4.2110686,17.604506,15-1134.00,15,Computers and Math
114,2.4848967,17.490065,15-1141.00,15,Computers and Math
115,-8.147384,19.337194,15-1142.00,15,Computers and Math
116,4.764948,19.207634,15-1143.00,15,Computers and Math
117,-11.758772,16.280674,15-1143.01,15,Computers and Math
118,-12.64564,2.274501,15-1151.00,15,Computers and Math
119,-11.671851,16.30798,15-1152.00,15,Computers and Math
120,1.0547037,19.092472,15-1199.01,15,Computers and Math
121,0.39652342,22.36363,15-1199.02,15,Computers and Math
122,3.785497,18.181576,15-1199.03,15,Computers and Math
123,0.32807153,22.753607,15-1199.04,15,Computers and Math
124,-6.512146,18.501392,15-1199.05,15,Computers and Math
125,7.3618565,19.680832,15-1199.06,15,Computers and Math
126,7.5692344,19.703684,15-1199.07,15,Computers and Math
127,16.820406,17.14726,15-1199.08,15,Computers and Math
128,21.466291,14.460779,15-1199.09,15,Computers and Math
129,19.644121,16.543512,15-1199.10,15,Computers and Math
130,27.3694,20.80667,15-1199.11,15,Computers and Math
131,26.209984,-7.1275573,15-1199.12,15,Computers and Math
132,24.227,-1.1782199,15-2011.00,15,Computers and Math
133,11.546903,19.958832,15-2021.00,15,Computers and Math
134,11.080324,20.659708,15-2031.00,15,Computers and Math
135,11.215139,17.776705,15-2041.00,15,Computers and Math
136,10.815484,18.459124,15-2041.01,15,Computers and Math
137,24.273127,-4.854157,15-2041.02,15,Computers and Math
138,0.25257814,32.760525,17-1011.00,17,Architechture and Engineering
139,25.244057,21.810818,17-1012.00,17,Architechture and Engineering
140,-6.4609337,16.210695,17-1021.00,17,Architechture and Engineering
141,-26.57332,10.458649,17-1022.00,17,Architechture and Engineering
142,-25.314796,10.707785,17-1022.01,17,Architechture and Engineering
143,1.1196342,26.975378,17-2011.00,17,Architechture and Engineering
144,-9.243998,30.471283,17-2021.00,17,Architechture and Engineering
145,-2.5562532,27.021036,17-2031.00,17,Architechture and Engineering
146,-1.3064607,27.104992,17-2041.00,17,Architechture and Engineering
147,-0.20934327,26.927729,17-2051.00,17,Architechture and Engineering
148,-0.4896052,25.364002,17-2051.01,17,Architechture and Engineering
149,0.33358067,21.059412,17-2061.00,17,Architechture and Engineering
150,-2.010273,25.270634,17-2071.00,17,Architechture and Engineering
151,-8.789825,25.80394,17-2072.00,17,Architechture and Engineering
152,-9.400042,17.621626,17-2072.01,17,Architechture and Engineering
153,4.1562004,25.160244,17-2081.00,17,Architechture and Engineering
154,3.4830902,26.836391,17-2081.01,17,Architechture and Engineering
155,-18.752678,16.251776,17-2111.01,17,Architechture and Engineering
156,2.1394224,25.455551,17-2111.02,17,Architechture and Engineering
157,-5.084148,20.243887,17-2111.03,17,Architechture and Engineering
158,-3.49384,23.22729,17-2112.00,17,Architechture and Engineering
159,4.2024236,27.03707,17-2112.01,17,Architechture and Engineering
160,-12.516774,27.054201,17-2121.01,17,Architechture and Engineering
161,-0.755021,31.108606,17-2121.02,17,Architechture and Engineering
162,-3.844863,25.239647,17-2131.00,17,Architechture and Engineering
163,-1.7757933,26.681309,17-2141.00,17,Architechture and Engineering
164,-7.606753,29.260733,17-2141.01,17,Architechture and Engineering
165,-8.415762,30.090004,17-2141.02,17,Architechture and Engineering
166,0.12230788,24.938133,17-2151.00,17,Architechture and Engineering
167,-1.3410882,24.029362,17-2161.00,17,Architechture and Engineering
168,1.5650173,24.58153,17-2171.00,17,Architechture and Engineering
169,-9.273879,26.290903,17-2199.01,17,Architechture and Engineering
170,-2.8401537,23.515648,17-2199.02,17,Architechture and Engineering
171,1.316297,26.663416,17-2199.03,17,Architechture and Engineering
172,-11.617775,25.635284,17-2199.04,17,Architechture and Engineering
173,-5.3099275,24.133934,17-2199.05,17,Architechture and Engineering
174,-9.532808,26.721144,17-2199.06,17,Architechture and Engineering
175,-3.3339589,29.928337,17-2199.07,17,Architechture and Engineering
176,-10.598581,26.656807,17-2199.08,17,Architechture and Engineering
177,-5.5892067,28.242887,17-2199.09,17,Architechture and Engineering
178,-6.7516937,29.919592,17-2199.10,17,Architechture and Engineering
179,-10.821406,29.927492,17-2199.11,17,Architechture and Engineering
180,-6.043572,15.46574,17-3011.01,17,Architechture and Engineering
181,-5.651788,13.752028,17-3011.02,17,Architechture and Engineering
182,-5.611748,13.521525,17-3012.01,17,Architechture and Engineering
183,-4.3717194,16.287128,17-3012.02,17,Architechture and Engineering
184,-4.8029714,16.141487,17-3013.00,17,Architechture and Engineering
185,-22.199774,6.8759136,17-3021.00,17,Architechture and Engineering
186,-6.590484,17.65739,17-3022.00,17,Architechture and Engineering
187,-19.53297,2.3902073,17-3023.01,17,Architechture and Engineering
188,-20.101868,2.8271873,17-3023.03,17,Architechture and Engineering
189,-24.22292,2.1596568,17-3024.00,17,Architechture and Engineering
190,-25.002758,6.426174,17-3024.01,17,Architechture and Engineering
191,-23.665388,9.360687,17-3025.00,17,Architechture and Engineering
192,-20.211226,8.060693,17-3026.00,17,Architechture and Engineering
193,-25.915672,8.691995,17-3027.00,17,Architechture and Engineering
194,-26.21008,6.228757,17-3027.01,17,Architechture and Engineering
195,-27.46912,7.991103,17-3029.01,17,Architechture and Engineering
196,-8.553347,18.242613,17-3029.02,17,Architechture and Engineering
197,-21.390108,5.1959314,17-3029.03,17,Architechture and Engineering
198,-23.748108,7.2593527,17-3029.04,17,Architechture and Engineering
199,-6.609816,18.241537,17-3029.05,17,Architechture and Engineering
200,-11.5954485,25.488174,17-3029.06,17,Architechture and Engineering
201,-24.85526,6.841484,17-3029.07,17,Architechture and Engineering
202,-20.097523,1.3565714,17-3029.08,17,Architechture and Engineering
203,-34.326214,-8.446023,17-3029.09,17,Architechture and Engineering
204,-9.949581,18.882748,17-3029.11,17,Architechture and Engineering
205,-29.559387,-5.8464513,17-3029.12,17,Architechture and Engineering
206,-26.653812,-1.0907178,17-3031.01,17,Architechture and Engineering
207,-8.3650675,12.914593,17-3031.02,17,Architechture and Engineering
208,-10.408313,32.161865,19-1011.00,19,"Life, Physical, and Social Science"
209,-8.826021,24.048225,19-1012.00,19,"Life, Physical, and Social Science"
210,-9.553227,32.904045,19-1013.00,19,"Life, Physical, and Social Science"
211,-10.731975,33.09206,19-1020.01,19,"Life, Physical, and Social Science"
212,-3.0607982,30.874697,19-1021.00,19,"Life, Physical, and Social Science"
213,-4.315312,34.209156,19-1022.00,19,"Life, Physical, and Social Science"
214,-12.283912,32.16903,19-1023.00,19,"Life, Physical, and Social Science"
215,0.1928266,28.786716,19-1029.01,19,"Life, Physical, and Social Science"
216,-3.1437194,31.380762,19-1029.02,19,"Life, Physical, and Social Science"
217,-2.7395718,30.526772,19-1029.03,19,"Life, Physical, and Social Science"
218,-22.556679,20.528309,19-1031.01,19,"Life, Physical, and Social Science"
219,-23.290115,19.39194,19-1031.02,19,"Life, Physical, and Social Science"
220,19.978615,32.858276,19-1031.03,19,"Life, Physical, and Social Science"
221,-23.4236,18.940144,19-1032.00,19,"Life, Physical, and Social Science"
222,7.074298,28.013746,19-1041.00,19,"Life, Physical, and Social Science"
223,3.9403176,30.498528,19-1042.00,19,"Life, Physical, and Social Science"
224,2.4317672,30.738472,19-2011.00,19,"Life, Physical, and Social Science"
225,1.3864638,29.702408,19-2012.00,19,"Life, Physical, and Social Science"
226,6.364138,27.260145,19-2021.00,19,"Life, Physical, and Social Science"
227,-9.078346,25.42561,19-2031.00,19,"Life, Physical, and Social Science"
228,-3.6319687,27.154938,19-2032.00,19,"Life, Physical, and Social Science"
229,-9.350766,32.375797,19-2041.00,19,"Life, Physical, and Social Science"
230,10.589922,23.194332,19-2041.01,19,"Life, Physical, and Social Science"
231,-22.469742,20.687466,19-2041.02,19,"Life, Physical, and Social Science"
232,8.836694,22.78749,19-2041.03,19,"Life, Physical, and Social Science"
233,-10.742218,32.30266,19-2042.00,19,"Life, Physical, and Social Science"
234,-11.465302,31.802502,19-2043.00,19,"Life, Physical, and Social Science"
235,-1.5747241,25.542046,19-2099.01,19,"Life, Physical, and Social Science"
236,10.904308,21.123894,19-3011.00,19,"Life, Physical, and Social Science"
237,10.533443,22.193224,19-3011.01,19,"Life, Physical, and Social Science"
238,12.032252,16.65583,19-3022.00,19,"Life, Physical, and Social Science"
239,32.762615,41.93048,19-3031.01,19,"Life, Physical, and Social Science"
240,33.635918,40.309483,19-3031.02,19,"Life, Physical, and Social Science"
241,32.752914,40.44258,19-3031.03,19,"Life, Physical, and Social Science"
242,35.07059,17.975346,19-3032.00,19,"Life, Physical, and Social Science"
243,17.517931,47.852722,19-3039.01,19,"Life, Physical, and Social Science"
244,43.019337,41.40342,19-3041.00,19,"Life, Physical, and Social Science"
245,7.0175037,25.232765,19-3051.00,19,"Life, Physical, and Social Science"
246,36.835552,42.205402,19-3091.01,19,"Life, Physical, and Social Science"
247,-8.965712,33.93837,19-3091.02,19,"Life, Physical, and Social Science"
248,3.3598902,28.797,19-3092.00,19,"Life, Physical, and Social Science"
249,43.68999,39.415554,19-3093.00,19,"Life, Physical, and Social Science"
250,43.075874,41.497437,19-3094.00,19,"Life, Physical, and Social Science"
251,5.767717,25.494427,19-3099.01,19,"Life, Physical, and Social Science"
252,-27.401457,-0.0967541,19-4011.01,19,"Life, Physical, and Social Science"
253,-18.953693,6.6396804,19-4011.02,19,"Life, Physical, and Social Science"
254,-20.617706,4.0263863,19-4021.00,19,"Life, Physical, and Social Science"
255,-18.824549,4.3118844,19-4031.00,19,"Life, Physical, and Social Science"
256,-16.967999,-0.8824643,19-4041.01,19,"Life, Physical, and Social Science"
257,-24.64767,8.727278,19-4041.02,19,"Life, Physical, and Social Science"
258,-43.00599,-15.333053,19-4051.01,19,"Life, Physical, and Social Science"
259,-17.972857,9.000047,19-4051.02,19,"Life, Physical, and Social Science"
260,23.815279,-6.1337023,19-4061.00,19,"Life, Physical, and Social Science"
261,30.299246,-6.3251743,19-4061.01,19,"Life, Physical, and Social Science"
262,-25.078392,9.007727,19-4091.00,19,"Life, Physical, and Social Science"
263,-25.308117,12.571365,19-4092.00,19,"Life, Physical, and Social Science"
264,-34.97706,-11.848573,19-4093.00,19,"Life, Physical, and Social Science"
265,-20.30973,4.796492,19-4099.01,19,"Life, Physical, and Social Science"
266,-24.57741,10.389265,19-4099.02,19,"Life, Physical, and Social Science"
267,-7.500793,18.184952,19-4099.03,19,"Life, Physical, and Social Science"
268,26.66696,38.72148,21-1011.00,21,Community and Social Services
269,26.192013,37.53482,21-1012.00,21,Community and Social Services
270,31.65066,39.673813,21-1013.00,21,Community and Social Services
271,30.869102,39.785004,21-1014.00,21,Community and Social Services
272,25.350084,38.50949,21-1015.00,21,Community and Social Services
273,24.596395,36.813526,21-1021.00,21,Community and Social Services
274,26.725754,38.397923,21-1022.00,21,Community and Social Services
275,27.428513,39.292206,21-1023.00,21,Community and Social Services
276,27.09816,31.518892,21-1091.00,21,Community and Social Services
277,10.008397,-12.166469,21-1092.00,21,Community and Social Services
278,10.904833,-11.792706,21-1093.00,21,Community and Social Services
279,20.575378,35.848045,21-1094.00,21,Community and Social Services
280,33.156982,35.08311,21-2011.00,21,Community and Social Services
281,33.134552,11.991437,21-2021.00,21,Community and Social Services
282,26.559677,11.935312,23-1011.00,23,Legal
283,32.668243,-5.7906046,23-1012.00,23,Legal
284,26.631624,11.76987,23-1021.00,23,Legal
285,39.64213,33.77357,23-1022.00,23,Legal
286,29.210865,10.345794,23-1023.00,23,Legal
287,32.73854,-6.34234,23-2011.00,23,Legal
288,30.491215,-20.858448,23-2091.00,23,Legal
289,29.758806,-15.861839,23-2093.00,23,Legal
290,39.921303,35.950344,25-1011.00,25,"Education, Training, and Library"
291,38.549385,41.85788,25-1021.00,25,"Education, Training, and Library"
292,40.74415,40.97173,25-1022.00,25,"Education, Training, and Library"
293,33.997787,37.559032,25-1031.00,25,"Education, Training, and Library"
294,38.040993,43.961407,25-1032.00,25,"Education, Training, and Library"
295,40.59538,45.577984,25-1041.00,25,"Education, Training, and Library"
296,39.712887,43.886642,25-1042.00,25,"Education, Training, and Library"
297,41.207905,45.70427,25-1043.00,25,"Education, Training, and Library"
298,40.80692,42.82222,25-1051.00,25,"Education, Training, and Library"
299,39.036514,43.65462,25-1052.00,25,"Education, Training, and Library"
300,41.09656,42.230305,25-1053.00,25,"Education, Training, and Library"
301,39.79413,44.55787,25-1054.00,25,"Education, Training, and Library"
302,39.722603,42.900703,25-1061.00,25,"Education, Training, and Library"
303,38.225456,39.026604,25-1062.00,25,"Education, Training, and Library"
304,40.437607,41.56692,25-1063.00,25,"Education, Training, and Library"
305,38.803585,40.17841,25-1064.00,25,"Education, Training, and Library"
306,41.41568,36.74469,25-1065.00,25,"Education, Training, and Library"
307,39.769367,39.092003,25-1066.00,25,"Education, Training, and Library"
308,40.337097,37.99156,25-1067.00,25,"Education, Training, and Library"
309,40.72495,44.633114,25-1071.00,25,"Education, Training, and Library"
310,19.688543,38.390125,25-1072.00,25,"Education, Training, and Library"
311,39.061638,37.670845,25-1081.00,25,"Education, Training, and Library"
312,39.269417,40.772568,25-1082.00,25,"Education, Training, and Library"
313,41.74924,39.454067,25-1111.00,25,"Education, Training, and Library"
314,41.53752,37.591583,25-1112.00,25,"Education, Training, and Library"
315,39.056694,38.520546,25-1113.00,25,"Education, Training, and Library"
316,28.407787,33.58095,25-1121.00,25,"Education, Training, and Library"
317,38.984924,36.71694,25-1122.00,25,"Education, Training, and Library"
318,37.601967,37.904045,25-1123.00,25,"Education, Training, and Library"
319,38.17433,36.8064,25-1124.00,25,"Education, Training, and Library"
320,40.953846,38.95609,25-1125.00,25,"Education, Training, and Library"
321,40.012318,37.35015,25-1126.00,25,"Education, Training, and Library"
322,33.4399,-10.206026,25-1191.00,25,"Education, Training, and Library"
323,39.166233,38.959366,25-1192.00,25,"Education, Training, and Library"
324,36.689407,39.046505,25-1193.00,25,"Education, Training, and Library"
325,19.939682,32.99335,25-1194.00,25,"Education, Training, and Library"
326,24.093128,31.781942,25-2011.00,25,"Education, Training, and Library"
327,25.345573,34.900146,25-2012.00,25,"Education, Training, and Library"
328,27.399076,36.22421,25-2021.00,25,"Education, Training, and Library"
329,31.00145,36.348022,25-2022.00,25,"Education, Training, and Library"
330,26.925117,35.296967,25-2023.00,25,"Education, Training, and Library"
331,30.633028,34.943916,25-2031.00,25,"Education, Training, and Library"
332,19.442802,37.43198,25-2032.00,25,"Education, Training, and Library"
333,24.715265,35.182636,25-2051.00,25,"Education, Training, and Library"
334,25.73213,36.276363,25-2052.00,25,"Education, Training, and Library"
335,30.367794,36.2825,25-2053.00,25,"Education, Training, and Library"
336,27.394573,37.143364,25-2054.00,25,"Education, Training, and Library"
337,16.645905,35.562637,25-2059.01,25,"Education, Training, and Library"
338,31.523651,36.06818,25-3011.00,25,"Education, Training, and Library"
339,26.02223,31.039652,25-3021.00,25,"Education, Training, and Library"
340,36.810905,35.942646,25-3099.02,25,"Education, Training, and Library"
341,23.253458,-6.749648,25-4011.00,25,"Education, Training, and Library"
342,24.39056,14.110645,25-4012.00,25,"Education, Training, and Library"
343,-16.091467,-6.1302156,25-4013.00,25,"Education, Training, and Library"
344,21.235834,2.1000237,25-4021.00,25,"Education, Training, and Library"
