,First component,Second component,SOC,Label,Occupation Category
0,29.937553,0.8147009,11-1011.00,11,Management
1,12.301567,-33.511635,11-1011.03,11,Management
2,9.537004,-8.857107,11-1021.00,11,Management
3,28.278505,-7.902412,11-2011.00,11,Management
4,27.600742,-8.1231785,11-2021.00,11,Management
5,26.610466,-7.569491,11-2022.00,11,Management
6,27.351578,-5.746384,11-2031.00,11,Management
7,9.126631,-8.403515,11-3011.00,11,Management
8,15.233282,-21.371187,11-3021.00,11,Management
9,15.843428,2.7364469,11-3031.01,11,Management
10,16.702263,3.290367,11-3031.02,11,Management
11,5.555077,-13.81295,11-3051.00,11,Management
12,1.5063758,-17.073502,11-3051.01,11,Management
13,3.8969846,-17.194084,11-3051.02,11,Management
14,0.30245203,-17.339811,11-3051.03,11,Management
15,4.078705,-17.368635,11-3051.04,11,Management
16,4.8721166,-17.351427,11-3051.06,11,Management
17,15.801565,-7.7410717,11-3061.00,11,Management
18,12.679551,-8.7949915,11-3071.01,11,Management
19,11.058978,-8.189584,11-3071.02,11,Management
20,13.217734,-7.8418746,11-3071.03,11,Management
21,18.080183,1.3340286,11-3111.00,11,Management
22,31.385645,1.2493945,11-3121.00,11,Management
23,33.35633,1.1992422,11-3131.00,11,Management
24,-1.0435019,-15.927111,11-9013.01,11,Management
25,-3.6726787,-17.965439,11-9013.02,11,Management
26,-1.9250866,-17.327389,11-9013.03,11,Management
27,7.1943684,-32.041065,11-9021.00,11,Management
28,30.605904,6.3262115,11-9031.00,11,Management
29,32.196594,2.898685,11-9032.00,11,Management
30,32.443867,1.181829,11-9033.00,11,Management
31,33.2068,-4.1094403,11-9039.01,11,Management
32,30.446003,12.197656,11-9039.02,11,Management
33,6.1362424,-34.61053,11-9041.00,11,Management
34,-17.146484,-29.065514,11-9041.01,11,Management
35,6.0860534,-6.4160137,11-9051.00,11,Management
36,27.39111,9.806664,11-9061.00,11,Management
37,22.234028,5.142862,11-9071.00,11,Management
38,29.730543,3.634374,11-9081.00,11,Management
39,20.994019,2.1562893,11-9111.00,11,Management
40,10.408238,-32.95603,11-9121.00,11,Management
41,21.42481,-31.59262,11-9121.01,11,Management
42,7.550674,-38.489483,11-9121.02,11,Management
43,9.417283,-10.059866,11-9131.00,11,Management
44,18.659803,-6.03214,11-9141.00,11,Management
45,31.432423,2.3707066,11-9151.00,11,Management
46,0.35786125,-5.7185326,11-9161.00,11,Management
47,20.934088,-30.482174,11-9199.01,11,Management
48,19.3008,-1.8852557,11-9199.02,11,Management
49,15.182879,4.1431165,11-9199.03,11,Management
50,13.715153,-7.2823987,11-9199.04,11,Management
51,0.37766513,-4.7743344,11-9199.07,11,Management
52,1.3507798,-4.461779,11-9199.08,11,Management
53,5.154278,-15.669974,11-9199.09,11,Management
54,8.361676,-32.72924,11-9199.10,11,Management
55,8.997922,-33.553154,11-9199.11,11,Management
56,28.630795,-4.9535217,13-1011.00,13,Business and Financial Operations
57,14.558838,-9.376952,13-1021.00,13,Business and Financial Operations
58,22.900871,-10.748428,13-1022.00,13,Business and Financial Operations
59,15.428672,-8.023442,13-1023.00,13,Business and Financial Operations
60,15.299828,10.537545,13-1031.01,13,Business and Financial Operations
61,16.227873,11.012309,13-1031.02,13,Business and Financial Operations
62,-2.5255408,15.103015,13-1032.00,13,Business and Financial Operations
63,-5.002409,-26.403864,13-1041.01,13,Business and Financial Operations
64,2.5959024,2.6247575,13-1041.02,13,Business and Financial Operations
65,21.310787,-1.3862809,13-1041.03,13,Business and Financial Operations
66,-8.567133,-21.44821,13-1041.04,13,Business and Financial Operations
67,-3.888935,-0.31334537,13-1041.06,13,Business and Financial Operations
68,21.01982,-30.029144,13-1041.07,13,Business and Financial Operations
69,4.9018264,-32.589397,13-1051.00,13,Business and Financial Operations
70,10.116552,14.845496,13-1071.00,13,Business and Financial Operations
71,-19.343315,23.73116,13-1074.00,13,Business and Financial Operations
72,20.374054,-0.816231,13-1075.00,13,Business and Financial Operations
73,13.604124,-8.310389,13-1081.00,13,Business and Financial Operations
74,3.954988,-35.111988,13-1081.01,13,Business and Financial Operations
75,15.557977,-11.520076,13-1081.02,13,Business and Financial Operations
76,33.08334,-0.7704676,13-1111.00,13,Business and Financial Operations
77,28.236403,6.683034,13-1121.00,13,Business and Financial Operations
78,26.950754,-5.192591,13-1131.00,13,Business and Financial Operations
79,18.880299,0.12805262,13-1141.00,13,Business and Financial Operations
80,34.142002,1.3526542,13-1151.00,13,Business and Financial Operations
81,22.912079,-18.599453,13-1161.00,13,Business and Financial Operations
82,-14.025139,-27.399517,13-1199.01,13,Business and Financial Operations
83,8.150965,-29.274801,13-1199.02,13,Business and Financial Operations
84,14.485823,-11.772727,13-1199.03,13,Business and Financial Operations
85,16.759762,-10.624152,13-1199.04,13,Business and Financial Operations
86,12.725694,-33.202034,13-1199.05,13,Business and Financial Operations
87,24.253836,-11.333027,13-1199.06,13,Business and Financial Operations
88,11.803555,4.6058474,13-2011.01,13,Business and Financial Operations
89,15.314802,3.2956865,13-2011.02,13,Business and Financial Operations
90,5.1013174,6.3896,13-2021.01,13,Business and Financial Operations
91,5.5455446,6.3160815,13-2021.02,13,Business and Financial Operations
92,12.609712,4.3966904,13-2031.00,13,Business and Financial Operations
93,10.632771,5.4709907,13-2041.00,13,Business and Financial Operations
94,24.339329,-18.576603,13-2051.00,13,Business and Financial Operations
95,15.555638,6.0280743,13-2052.00,13,Business and Financial Operations
96,10.0086775,7.2429295,13-2053.00,13,Business and Financial Operations
97,12.25258,3.172615,13-2061.00,13,Business and Financial Operations
98,16.4527,8.248802,13-2071.00,13,Business and Financial Operations
99,11.334865,9.716071,13-2071.01,13,Business and Financial Operations
100,12.210471,8.294572,13-2072.00,13,Business and Financial Operations
101,14.690202,10.365,13-2081.00,13,Business and Financial Operations
102,10.419321,8.129584,13-2082.00,13,Business and Financial Operations
103,24.140932,-22.637545,13-2099.01,13,Business and Financial Operations
104,15.886971,-6.3300104,13-2099.02,13,Business and Financial Operations
105,18.47864,-0.95450956,13-2099.04,13,Business and Financial Operations
106,14.760221,-27.263968,15-1111.00,15,Computers and Math
107,16.27407,-23.018488,15-1121.00,15,Computers and Math
108,35.90384,-3.555334,15-1121.01,15,Computers and Math
109,14.174083,-22.20673,15-1122.00,15,Computers and Math
110,15.822669,-24.18048,15-1131.00,15,Computers and Math
111,18.354523,-25.517113,15-1132.00,15,Computers and Math
112,15.87128,-25.591127,15-1133.00,15,Computers and Math
113,18.468513,-23.31969,15-1134.00,15,Computers and Math
114,14.462338,-22.63849,15-1141.00,15,Computers and Math
115,13.402886,-23.444996,15-1142.00,15,Computers and Math
116,13.418706,-26.319185,15-1143.00,15,Computers and Math
117,10.99447,-25.470255,15-1143.01,15,Computers and Math
118,12.153421,-21.680397,15-1151.00,15,Computers and Math
119,12.55619,-22.545467,15-1152.00,15,Computers and Math
120,17.217499,-23.630026,15-1199.01,15,Computers and Math
121,14.508066,-24.969889,15-1199.02,15,Computers and Math
122,17.782686,-21.640362,15-1199.03,15,Computers and Math
123,-5.2440643,-31.78499,15-1199.04,15,Computers and Math
124,-6.5293765,-32.4174,15-1199.05,15,Computers and Math
125,18.311993,-24.954725,15-1199.06,15,Computers and Math
126,19.005154,-24.456142,15-1199.07,15,Computers and Math
127,22.05879,-20.544283,15-1199.08,15,Computers and Math
128,17.505657,-8.386059,15-1199.09,15,Computers and Math
129,21.17273,-20.569387,15-1199.10,15,Computers and Math
130,33.02002,-14.050696,15-1199.11,15,Computers and Math
131,17.052408,-20.56641,15-1199.12,15,Computers and Math
132,24.240255,-21.503479,15-2011.00,15,Computers and Math
133,24.212763,-24.599724,15-2021.00,15,Computers and Math
134,24.10471,-24.11358,15-2031.00,15,Computers and Math
135,24.809029,-27.771076,15-2041.00,15,Computers and Math
136,25.159904,-28.222675,15-2041.01,15,Computers and Math
137,21.638884,-28.641363,15-2041.02,15,Computers and Math
138,13.792177,-38.821175,17-1011.00,17,Architechture and Engineering
139,13.707881,-38.63747,17-1012.00,17,Architechture and Engineering
140,-8.329701,-33.515926,17-1021.00,17,Architechture and Engineering
141,-8.310958,-26.252739,17-1022.00,17,Architechture and Engineering
142,-8.574695,-27.387358,17-1022.01,17,Architechture and Engineering
143,-2.020043,-41.893074,17-2011.00,17,Architechture and Engineering
144,3.8769555,-44.801888,17-2021.00,17,Architechture and Engineering
145,1.2052659,-44.44565,17-2031.00,17,Architechture and Engineering
146,0.13154021,-45.81514,17-2041.00,17,Architechture and Engineering
147,7.350698,-36.09979,17-2051.00,17,Architechture and Engineering
148,8.227709,-36.15628,17-2051.01,17,Architechture and Engineering
149,-5.354091,-44.351425,17-2061.00,17,Architechture and Engineering
150,-1.0143434,-38.387764,17-2071.00,17,Architechture and Engineering
151,0.5852247,-39.429577,17-2072.00,17,Architechture and Engineering
152,12.350539,-25.115088,17-2072.01,17,Architechture and Engineering
153,7.0883417,-38.757954,17-2081.00,17,Architechture and Engineering
154,6.2741103,-38.126293,17-2081.01,17,Architechture and Engineering
155,2.4626071,-22.691923,17-2111.01,17,Architechture and Engineering
156,6.5188384,-37.29088,17-2111.02,17,Architechture and Engineering
157,2.261259,-24.695559,17-2111.03,17,Architechture and Engineering
158,0.0020452982,-37.293518,17-2112.00,17,Architechture and Engineering
159,0.5360033,-34.704655,17-2112.01,17,Architechture and Engineering
160,3.1309602,-42.00657,17-2121.01,17,Architechture and Engineering
161,-0.8131468,-42.86049,17-2121.02,17,Architechture and Engineering
162,-0.4220362,-44.72586,17-2131.00,17,Architechture and Engineering
163,-0.24749455,-40.225243,17-2141.00,17,Architechture and Engineering
164,-3.050541,-45.387207,17-2141.01,17,Architechture and Engineering
165,2.7284992,-40.129677,17-2141.02,17,Architechture and Engineering
166,4.105271,-36.773865,17-2151.00,17,Architechture and Engineering
167,6.122473,-39.814034,17-2161.00,17,Architechture and Engineering
168,4.604782,-37.042866,17-2171.00,17,Architechture and Engineering
169,3.0159128,-45.246628,17-2199.01,17,Architechture and Engineering
170,-0.43971592,-36.595352,17-2199.02,17,Architechture and Engineering
171,6.0488024,-36.096645,17-2199.03,17,Architechture and Engineering
172,2.214556,-42.040527,17-2199.04,17,Architechture and Engineering
173,-3.7402568,-42.214188,17-2199.05,17,Architechture and Engineering
174,-3.366498,-43.371147,17-2199.06,17,Architechture and Engineering
175,-4.8350806,-44.51961,17-2199.07,17,Architechture and Engineering
176,1.0057597,-42.27698,17-2199.08,17,Architechture and Engineering
177,-1.7251335,-45.42597,17-2199.09,17,Architechture and Engineering
178,1.7494285,-37.551285,17-2199.10,17,Architechture and Engineering
179,-14.113915,-28.953539,17-2199.11,17,Architechture and Engineering
180,-4.39767,-36.310616,17-3011.01,17,Architechture and Engineering
181,-6.604252,-36.145622,17-3011.02,17,Architechture and Engineering
182,-22.02397,-11.499872,17-3012.01,17,Architechture and Engineering
183,-6.0978107,-36.244556,17-3012.02,17,Architechture and Engineering
184,-5.740276,-38.416023,17-3013.00,17,Architechture and Engineering
185,-22.123177,-26.319132,17-3021.00,17,Architechture and Engineering
186,-2.9230163,-35.019684,17-3022.00,17,Architechture and Engineering
187,-22.53003,-28.902138,17-3023.01,17,Architechture and Engineering
188,-21.993114,-27.509295,17-3023.03,17,Architechture and Engineering
189,-24.97756,-28.60722,17-3024.00,17,Architechture and Engineering
190,-24.356506,-26.678131,17-3024.01,17,Architechture and Engineering
191,-15.551849,-26.692448,17-3025.00,17,Architechture and Engineering
192,-18.955017,-28.150543,17-3026.00,17,Architechture and Engineering
193,-20.211864,-29.456333,17-3027.00,17,Architechture and Engineering
194,-25.647383,-23.718075,17-3027.01,17,Architechture and Engineering
195,-15.9137125,-25.953728,17-3029.01,17,Architechture and Engineering
196,1.1015195,-38.505844,17-3029.02,17,Architechture and Engineering
197,-20.858034,-28.237482,17-3029.03,17,Architechture and Engineering
198,-26.93425,-26.502472,17-3029.04,17,Architechture and Engineering
199,-2.8941038,-39.41497,17-3029.05,17,Architechture and Engineering
200,1.8072785,-42.11376,17-3029.06,17,Architechture and Engineering
201,-23.229973,-24.766777,17-3029.07,17,Architechture and Engineering
202,-22.421997,-29.344711,17-3029.08,17,Architechture and Engineering
203,-25.322578,-23.033068,17-3029.09,17,Architechture and Engineering
204,-3.852791,-45.99813,17-3029.11,17,Architechture and Engineering
205,-22.398247,-30.464956,17-3029.12,17,Architechture and Engineering
206,-9.0441,-26.436155,17-3031.01,17,Architechture and Engineering
207,-8.918903,-33.71716,17-3031.02,17,Architechture and Engineering
208,0.24012545,-28.288862,19-1011.00,19,"Life, Physical, and Social Science"
209,3.299851,-45.98694,19-1012.00,19,"Life, Physical, and Social Science"
210,-0.6047304,-28.09182,19-1013.00,19,"Life, Physical, and Social Science"
211,-3.2582283,-27.263622,19-1020.01,19,"Life, Physical, and Social Science"
212,27.013893,-35.87676,19-1021.00,19,"Life, Physical, and Social Science"
213,25.146315,-35.31741,19-1022.00,19,"Life, Physical, and Social Science"
214,-3.6475031,-25.438616,19-1023.00,19,"Life, Physical, and Social Science"
215,26.986708,-34.678913,19-1029.01,19,"Life, Physical, and Social Science"
216,26.272902,-35.571026,19-1029.02,19,"Life, Physical, and Social Science"
217,27.57321,-32.52484,19-1029.03,19,"Life, Physical, and Social Science"
218,-3.6261375,-24.090612,19-1031.01,19,"Life, Physical, and Social Science"
219,-3.827857,-23.53047,19-1031.02,19,"Life, Physical, and Social Science"
220,37.10095,6.834606,19-1031.03,19,"Life, Physical, and Social Science"
221,-4.731619,-24.347332,19-1032.00,19,"Life, Physical, and Social Science"
222,26.913073,-31.595963,19-1041.00,19,"Life, Physical, and Social Science"
223,28.149216,-33.326515,19-1042.00,19,"Life, Physical, and Social Science"
224,-1.5225785,-48.79042,19-2011.00,19,"Life, Physical, and Social Science"
225,-1.5499661,-48.231228,19-2012.00,19,"Life, Physical, and Social Science"
226,-3.8433692,-31.705088,19-2021.00,19,"Life, Physical, and Social Science"
227,-17.119312,-28.404455,19-2031.00,19,"Life, Physical, and Social Science"
228,-1.232465,-45.462242,19-2032.00,19,"Life, Physical, and Social Science"
229,-3.9088664,-26.952847,19-2041.00,19,"Life, Physical, and Social Science"
230,14.627412,-31.911592,19-2041.01,19,"Life, Physical, and Social Science"
231,-2.873402,-25.443716,19-2041.02,19,"Life, Physical, and Social Science"
232,13.683648,-32.36541,19-2041.03,19,"Life, Physical, and Social Science"
233,-3.8044343,-29.705093,19-2042.00,19,"Life, Physical, and Social Science"
234,-4.4138117,-29.72336,19-2043.00,19,"Life, Physical, and Social Science"
235,-4.9984627,-31.268738,19-2099.01,19,"Life, Physical, and Social Science"
236,27.789124,-23.426783,19-3011.00,19,"Life, Physical, and Social Science"
237,27.481617,-23.686544,19-3011.01,19,"Life, Physical, and Social Science"
238,22.442139,-18.744137,19-3022.00,19,"Life, Physical, and Social Science"
239,44.304367,14.835623,19-3031.01,19,"Life, Physical, and Social Science"
240,45.293602,16.875034,19-3031.02,19,"Life, Physical, and Social Science"
241,44.646603,17.420458,19-3031.03,19,"Life, Physical, and Social Science"
242,32.08129,-0.4439004,19-3032.00,19,"Life, Physical, and Social Science"
243,47.449272,23.727118,19-3039.01,19,"Life, Physical, and Social Science"
244,46.14861,-3.1026,19-3041.00,19,"Life, Physical, and Social Science"
245,12.934859,-35.125416,19-3051.00,19,"Life, Physical, and Social Science"
246,46.93948,-6.157517,19-3091.01,19,"Life, Physical, and Social Science"
247,45.971737,-7.0570545,19-3091.02,19,"Life, Physical, and Social Science"
248,47.508945,-6.154451,19-3092.00,19,"Life, Physical, and Social Science"
249,42.985966,-9.63268,19-3093.00,19,"Life, Physical, and Social Science"
250,45.394573,-3.8275385,19-3094.00,19,"Life, Physical, and Social Science"
251,9.658154,-35.903458,19-3099.01,19,"Life, Physical, and Social Science"
252,-1.7090479,-22.26243,19-4011.01,19,"Life, Physical, and Social Science"
253,-14.583699,-5.791943,19-4011.02,19,"Life, Physical, and Social Science"
254,-13.253565,-0.36073285,19-4021.00,19,"Life, Physical, and Social Science"
255,-56.489933,2.9861023,19-4031.00,19,"Life, Physical, and Social Science"
256,-7.930062,-36.15966,19-4041.01,19,"Life, Physical, and Social Science"
257,-21.552443,-32.270607,19-4041.02,19,"Life, Physical, and Social Science"
258,-26.128836,-35.590115,19-4051.01,19,"Life, Physical, and Social Science"
259,-25.345055,-35.284153,19-4051.02,19,"Life, Physical, and Social Science"
260,12.026883,16.8337,19-4061.00,19,"Life, Physical, and Social Science"
261,11.5141325,-36.0463,19-4061.01,19,"Life, Physical, and Social Science"
262,-5.796946,-26.055727,19-4091.00,19,"Life, Physical, and Social Science"
263,0.640051,3.844115,19-4092.00,19,"Life, Physical, and Social Science"
264,-4.9675527,-22.28398,19-4093.00,19,"Life, Physical, and Social Science"
265,-14.592102,-5.8729033,19-4099.01,19,"Life, Physical, and Social Science"
266,-6.1438046,-27.727116,19-4099.02,19,"Life, Physical, and Social Science"
267,-7.9129333,-33.00822,19-4099.03,19,"Life, Physical, and Social Science"
268,41.96128,17.21456,21-1011.00,21,Community and Social Services
269,42.407436,14.5522785,21-1012.00,21,Community and Social Services
270,44.10331,17.784649,21-1013.00,21,Community and Social Services
271,43.50622,16.17357,21-1014.00,21,Community and Social Services
272,40.513573,16.270775,21-1015.00,21,Community and Social Services
273,40.00287,17.680487,21-1021.00,21,Community and Social Services
274,42.507645,16.19501,21-1022.00,21,Community and Social Services
275,42.79091,16.671535,21-1023.00,21,Community and Social Services
276,38.706223,15.247575,21-1091.00,21,Community and Social Services
277,33.72679,22.336273,21-1092.00,21,Community and Social Services
278,34.006714,21.27834,21-1093.00,21,Community and Social Services
279,36.573135,16.49921,21-1094.00,21,Community and Social Services
280,45.656094,8.078384,21-2011.00,21,Community and Social Services
281,45.65568,8.226205,21-2021.00,21,Community and Social Services
282,21.193195,-0.3359948,23-1011.00,23,Legal
283,12.22994,23.159487,23-1012.00,23,Legal
284,23.223513,0.2322088,23-1021.00,23,Legal
285,23.208076,-1.0682887,23-1022.00,23,Legal
286,23.527979,-0.095461525,23-1023.00,23,Legal
287,10.929827,22.585135,23-2011.00,23,Legal
288,11.103468,19.767473,23-2091.00,23,Legal
289,8.607783,24.604778,23-2093.00,23,Legal
290,34.597572,-0.9336139,25-1011.00,25,"Education, Training, and Library"
291,36.3139,-1.729984,25-1021.00,25,"Education, Training, and Library"
292,29.472277,-28.491116,25-1022.00,25,"Education, Training, and Library"
293,40.91417,-3.0919306,25-1031.00,25,"Education, Training, and Library"
294,8.045967,-43.113297,25-1032.00,25,"Education, Training, and Library"
295,37.249805,-27.215042,25-1041.00,25,"Education, Training, and Library"
296,33.09567,-30.719336,25-1042.00,25,"Education, Training, and Library"
297,34.55691,-29.90042,25-1043.00,25,"Education, Training, and Library"
298,32.56747,-29.94934,25-1051.00,25,"Education, Training, and Library"
299,31.732973,-30.523687,25-1052.00,25,"Education, Training, and Library"
300,33.362198,-29.948545,25-1053.00,25,"Education, Training, and Library"
301,31.043135,-29.882732,25-1054.00,25,"Education, Training, and Library"
302,49.37377,-3.2547207,25-1061.00,25,"Education, Training, and Library"
303,48.687687,-1.0533859,25-1062.00,25,"Education, Training, and Library"
304,28.701244,-23.015877,25-1063.00,25,"Education, Training, and Library"
305,47.772747,-4.81515,25-1064.00,25,"Education, Training, and Library"
306,46.394043,-2.4183927,25-1065.00,25,"Education, Training, and Library"
307,45.00211,2.657679,25-1066.00,25,"Education, Training, and Library"
308,46.474365,-0.7447982,25-1067.00,25,"Education, Training, and Library"
309,42.4644,4.9229617,25-1071.00,25,"Education, Training, and Library"
310,44.049053,23.070738,25-1072.00,25,"Education, Training, and Library"
311,44.68414,0.9547362,25-1081.00,25,"Education, Training, and Library"
312,44.64606,0.37938485,25-1082.00,25,"Education, Training, and Library"
313,41.222923,2.3218637,25-1111.00,25,"Education, Training, and Library"
314,44.96347,-1.045295,25-1112.00,25,"Education, Training, and Library"
315,45.217075,1.9208218,25-1113.00,25,"Education, Training, and Library"
316,41.655174,-2.1916718,25-1121.00,25,"Education, Training, and Library"
317,47.759506,0.5171897,25-1122.00,25,"Education, Training, and Library"
318,48.256054,-0.29715952,25-1123.00,25,"Education, Training, and Library"
319,49.87219,-1.0871136,25-1124.00,25,"Education, Training, and Library"
320,48.32749,-2.097945,25-1125.00,25,"Education, Training, and Library"
321,47.49308,-1.6646321,25-1126.00,25,"Education, Training, and Library"
322,34.38274,11.278297,25-1191.00,25,"Education, Training, and Library"
323,41.08642,3.4027922,25-1192.00,25,"Education, Training, and Library"
324,42.105858,4.621016,25-1193.00,25,"Education, Training, and Library"
325,34.83509,5.9777894,25-1194.00,25,"Education, Training, and Library"
326,31.579945,17.895206,25-2011.00,25,"Education, Training, and Library"
327,39.880333,7.8105826,25-2012.00,25,"Education, Training, and Library"
328,39.897606,8.57178,25-2021.00,25,"Education, Training, and Library"
329,39.91068,6.4921427,25-2022.00,25,"Education, Training, and Library"
330,36.08769,5.770742,25-2023.00,25,"Education, Training, and Library"
331,39.695015,5.701861,25-2031.00,25,"Education, Training, and Library"
332,36.074276,5.449528,25-2032.00,25,"Education, Training, and Library"
333,40.126835,10.446912,25-2051.00,25,"Education, Training, and Library"
334,40.722736,9.306899,25-2052.00,25,"Education, Training, and Library"
335,40.874294,8.242934,25-2053.00,25,"Education, Training, and Library"
336,38.89645,6.435799,25-2054.00,25,"Education, Training, and Library"
337,34.00238,18.0393,25-2059.01,25,"Education, Training, and Library"
338,35.364925,11.249098,25-3011.00,25,"Education, Training, and Library"
339,30.379427,17.688217,25-3021.00,25,"Education, Training, and Library"
340,35.26097,11.185402,25-3099.02,25,"Education, Training, and Library"
341,43.317165,-9.293522,25-4011.00,25,"Education, Training, and Library"
342,44.442474,-7.220784,25-4012.00,25,"Education, Training, and Library"
343,-20.579487,-17.751755,25-4013.00,25,"Education, Training, and Library"
344,36.98,2.832963,25-4021.00,25,"Education, Training, and Library"
345,1.0378938,21.4888,25-4031.00,25,"Education, Training, and Library"
346,-16.964615,-19.122015,25-9011.00,25,"Education, Training, and Library"
347,37.51339,-26.995071,25-9021.00,25,"Education, Training, and Library"
348,38.945847,3.8392093,25-9031.00,25,"Education, Training, and Library"
349,33.440083,-4.0290475,25-9031.01,25,"Education, Training, and Library"
350,28.074324,18.929085,25-9041.00,25,"Education, Training, and Library"
351,31.47077,-13.169508,27-1011.00,27,"Arts, Design, Entertainment, and Media"
352,-21.321384,-7.150698,27-1012.00,27,"Arts, Design, Entertainment, and Media"
353,33.56234,-17.218693,27-1013.00,27,"Arts, Design, Entertainment, and Media"
354,31.903809,-15.021268,27-1014.00,27,"Arts, Design, Entertainment, and Media"
355,-4.388301,-40.03764,27-1021.00,27,"Arts, Design, Entertainment, and Media"
356,30.341858,-16.98266,27-1022.00,27,"Arts, Design, Entertainment, and Media"
357,-8.437956,13.202694,27-1023.00,27,"Arts, Design, Entertainment, and Media"
358,31.78169,-14.268795,27-1024.00,27,"Arts, Design, Entertainment, and Media"
359,14.83691,-39.08759,27-1025.00,27,"Arts, Design, Entertainment, and Media"
360,-8.112651,13.162096,27-1026.00,27,"Arts, Design, Entertainment, and Media"
361,16.16274,-39.387894,27-1027.00,27,"Arts, Design, Entertainment, and Media"
362,23.574554,20.282125,27-2011.00,27,"Arts, Design, Entertainment, and Media"
363,32.153023,-7.7931013,27-2012.01,27,"Arts, Design, Entertainment, and Media"
364,31.670193,-10.23338,27-2012.02,27,"Arts, Design, Entertainment, and Media"
365,31.702665,-6.2999845,27-2012.03,27,"Arts, Design, Entertainment, and Media"
366,28.772463,-5.470157,27-2012.04,27,"Arts, Design, Entertainment, and Media"
367,-19.008074,-20.749376,27-2012.05,27,"Arts, Design, Entertainment, and Media"
368,2.7796369,-10.115679,27-2021.00,27,"Arts, Design, Entertainment, and Media"
369,30.72736,11.9423685,27-2022.00,27,"Arts, Design, Entertainment, and Media"
370,-12.1075115,17.473164,27-2023.00,27,"Arts, Design, Entertainment, and Media"
371,21.38853,19.87467,27-2031.00,27,"Arts, Design, Entertainment, and Media"
372,23.830818,18.65309,27-2032.00,27,"Arts, Design, Entertainment, and Media"
373,41.26947,-1.2112085,27-2041.01,27,"Arts, Design, Entertainment, and Media"
374,30.15689,-14.252055,27-2041.04,27,"Arts, Design, Entertainment, and Media"
375,22.325733,20.917887,27-2042.01,27,"Arts, Design, Entertainment, and Media"
376,21.966007,20.742506,27-2042.02,27,"Arts, Design, Entertainment, and Media"
377,33.344273,-9.184926,27-3011.00,27,"Arts, Design, Entertainment, and Media"
378,19.218218,21.540833,27-3012.00,27,"Arts, Design, Entertainment, and Media"
379,32.803745,-8.18752,27-3021.00,27,"Arts, Design, Entertainment, and Media"
380,34.08376,-9.795116,27-3022.00,27,"Arts, Design, Entertainment, and Media"
381,29.837063,-8.151815,27-3031.00,27,"Arts, Design, Entertainment, and Media"
382,30.756395,-9.283913,27-3041.00,27,"Arts, Design, Entertainment, and Media"
383,16.24695,-18.16601,27-3042.00,27,"Arts, Design, Entertainment, and Media"
384,29.512056,-10.698872,27-3043.04,27,"Arts, Design, Entertainment, and Media"
385,35.08924,-12.554017,27-3043.05,27,"Arts, Design, Entertainment, and Media"
386,50.753162,1.0191545,27-3091.00,27,"Arts, Design, Entertainment, and Media"
387,-18.55807,-18.888607,27-4011.00,27,"Arts, Design, Entertainment, and Media"
388,-27.899923,-28.93223,27-4012.00,27,"Arts, Design, Entertainment, and Media"
389,-1.9979546,1.7596098,27-4013.00,27,"Arts, Design, Entertainment, and Media"
390,-18.381437,-18.445543,27-4014.00,27,"Arts, Design, Entertainment, and Media"
391,32.330578,-17.584429,27-4021.00,27,"Arts, Design, Entertainment, and Media"
392,-19.906359,-19.815432,27-4031.00,27,"Arts, Design, Entertainment, and Media"
393,34.64836,-7.384219,27-4032.00,27,"Arts, Design, Entertainment, and Media"
394,42.016,29.066418,29-1011.00,29,Healthcare Practitioner
395,43.04569,36.536983,29-1021.00,29,Healthcare Practitioner
396,48.103935,31.86021,29-1022.00,29,Healthcare Practitioner
397,42.018562,35.655647,29-1023.00,29,Healthcare Practitioner
398,48.178905,34.858685,29-1024.00,29,Healthcare Practitioner
399,50.457817,25.276577,29-1031.00,29,Healthcare Practitioner
400,42.033394,34.792023,29-1041.00,29,Healthcare Practitioner
401,41.47901,31.819555,29-1051.00,29,Healthcare Practitioner
402,45.432304,33.132782,29-1061.00,29,Healthcare Practitioner
403,46.64044,24.737938,29-1062.00,29,Healthcare Practitioner
404,47.359947,26.916119,29-1063.00,29,Healthcare Practitioner
405,48.400467,30.138374,29-1064.00,29,Healthcare Practitioner
406,46.350426,26.192003,29-1065.00,29,Healthcare Practitioner
407,46.04871,21.691265,29-1066.00,29,Healthcare Practitioner
408,48.018864,31.31387,29-1067.00,29,Healthcare Practitioner
409,48.90939,26.886932,29-1069.01,29,Healthcare Practitioner
410,43.74734,30.058107,29-1069.02,29,Healthcare Practitioner
411,45.34133,27.630274,29-1069.03,29,Healthcare Practitioner
412,47.65792,25.464834,29-1069.04,29,Healthcare Practitioner
413,43.82726,34.901253,29-1069.05,29,Healthcare Practitioner
414,44.38834,34.09165,29-1069.06,29,Healthcare Practitioner
415,43.41022,32.983818,29-1069.07,29,Healthcare Practitioner
416,48.01372,29.561426,29-1069.08,29,Healthcare Practitioner
417,49.404617,27.1127,29-1069.09,29,Healthcare Practitioner
418,43.841953,35.59153,29-1069.10,29,Healthcare Practitioner
419,44.99488,31.779982,29-1069.11,29,Healthcare Practitioner
420,49.237885,32.394737,29-1069.12,29,Healthcare Practitioner
421,44.98143,26.566833,29-1071.00,29,Healthcare Practitioner
422,34.1439,35.798054,29-1071.01,29,Healthcare Practitioner
423,42.99137,33.94425,29-1081.00,29,Healthcare Practitioner
424,39.59284,23.300955,29-1122.00,29,Healthcare Practitioner
