,First component,Second component,SOC,Label,Occupation Category
0,2.4863174,30.857248,11-1011.00,11,Management
1,-26.056683,9.024486,11-1011.03,11,Management
2,-3.4632652,12.945057,11-1021.00,11,Management
3,-7.230861,30.844255,11-2011.00,11,Management
4,-7.2982078,30.031645,11-2021.00,11,Management
5,-6.763019,28.625349,11-2022.00,11,Management
6,-4.484482,29.963896,11-2031.00,11,Management
7,-2.6717148,13.259554,11-3011.00,11,Management
8,-22.328497,18.890934,11-3021.00,11,Management
9,6.2840595,18.768816,11-3031.01,11,Management
10,6.718649,19.222256,11-3031.02,11,Management
11,-8.038161,9.443625,11-3051.00,11,Management
12,-9.605816,9.001802,11-3051.01,11,Management
13,-12.763954,5.6011863,11-3051.02,11,Management
14,-12.51702,3.6557016,11-3051.03,11,Management
15,-12.90237,5.817651,11-3051.04,11,Management
16,-13.100867,6.55165,11-3051.06,11,Management
17,-5.9650607,17.718472,11-3061.00,11,Management
18,-6.28302,14.543537,11-3071.01,11,Management
19,-5.113495,13.687002,11-3071.02,11,Management
20,-6.6310167,16.134481,11-3071.03,11,Management
21,2.6312897,19.056185,11-3111.00,11,Management
22,2.7700036,32.3426,11-3121.00,11,Management
23,2.1922312,34.323956,11-3131.00,11,Management
24,-13.421505,-0.22519898,11-9013.01,11,Management
25,-15.260203,-3.2793703,11-9013.02,11,Management
26,-14.461638,-1.7918925,11-9013.03,11,Management
27,-17.031275,6.9293885,11-9021.00,11,Management
28,9.722461,33.66803,11-9031.00,11,Management
29,4.127193,33.615425,11-9032.00,11,Management
30,2.40046,33.43385,11-9033.00,11,Management
31,-3.1782632,34.42002,11-9039.01,11,Management
32,16.583702,32.077106,11-9039.02,11,Management
33,-31.302916,2.126093,11-9041.00,11,Management
34,-38.235577,-6.070476,11-9041.01,11,Management
35,-1.9348526,8.599588,11-9051.00,11,Management
36,14.133861,27.89757,11-9061.00,11,Management
37,-1.4912448,13.681473,11-9071.00,11,Management
38,5.6940985,31.619236,11-9081.00,11,Management
39,0.2754617,17.953238,11-9111.00,11,Management
40,-28.34701,8.585582,11-9121.00,11,Management
41,-17.103142,25.647005,11-9121.01,11,Management
42,-29.417685,5.9601517,11-9121.02,11,Management
43,-6.162725,12.119194,11-9131.00,11,Management
44,-5.3385205,21.821712,11-9141.00,11,Management
45,3.8917658,32.770847,11-9151.00,11,Management
46,-3.3199584,1.9103872,11-9161.00,11,Management
47,-17.981071,24.849237,11-9199.01,11,Management
48,-0.46273556,19.773043,11-9199.02,11,Management
49,7.2634587,17.417624,11-9199.03,11,Management
50,-5.808597,16.111841,11-9199.04,11,Management
51,-2.5494578,2.0751357,11-9199.07,11,Management
52,-1.9117047,3.2380295,11-9199.08,11,Management
53,-12.008589,7.395379,11-9199.09,11,Management
54,-26.817457,6.9570403,11-9199.10,11,Management
55,-27.708292,6.793008,11-9199.11,11,Management
56,-5.3716297,31.02579,13-1011.00,13,Business and Financial Operations
57,-8.385462,15.182542,13-1021.00,13,Business and Financial Operations
58,-12.847468,23.58904,13-1022.00,13,Business and Financial Operations
59,-6.450581,17.645199,13-1023.00,13,Business and Financial Operations
60,4.5160627,14.791867,13-1031.01,13,Business and Financial Operations
61,4.2725043,15.463041,13-1031.02,13,Business and Financial Operations
62,12.765743,1.2896504,13-1032.00,13,Business and Financial Operations
63,-22.26915,-4.2435627,13-1041.01,13,Business and Financial Operations
64,1.9327765,-6.037314,13-1041.02,13,Business and Financial Operations
65,1.9321656,21.919472,13-1041.03,13,Business and Financial Operations
66,-9.936991,-6.840605,13-1041.04,13,Business and Financial Operations
67,1.4083127,-1.7292546,13-1041.06,13,Business and Financial Operations
68,-18.355858,24.519585,13-1041.07,13,Business and Financial Operations
69,-14.018653,19.06574,13-1051.00,13,Business and Financial Operations
70,3.7062852,20.639402,13-1071.00,13,Business and Financial Operations
71,22.135788,-18.294338,13-1074.00,13,Business and Financial Operations
72,1.3199271,21.19673,13-1075.00,13,Business and Financial Operations
73,-6.3350477,15.548251,13-1081.00,13,Business and Financial Operations
74,-33.642635,4.8845167,13-1081.01,13,Business and Financial Operations
75,-8.610728,18.381212,13-1081.02,13,Business and Financial Operations
76,0.8541095,33.30141,13-1111.00,13,Business and Financial Operations
77,9.454699,30.620836,13-1121.00,13,Business and Financial Operations
78,-4.0395565,29.707323,13-1131.00,13,Business and Financial Operations
79,1.3433558,19.952812,13-1141.00,13,Business and Financial Operations
80,2.2894194,35.068954,13-1151.00,13,Business and Financial Operations
81,-22.225288,27.43211,13-1161.00,13,Business and Financial Operations
82,-23.97641,-11.572017,13-1199.01,13,Business and Financial Operations
83,-17.705088,7.5478005,13-1199.02,13,Business and Financial Operations
84,-9.000097,17.83355,13-1199.03,13,Business and Financial Operations
85,-7.549388,19.866667,13-1199.04,13,Business and Financial Operations
86,-26.368237,9.395804,13-1199.05,13,Business and Financial Operations
87,-14.042185,23.295698,13-1199.06,13,Business and Financial Operations
88,12.136209,12.808005,13-2011.01,13,Business and Financial Operations
89,6.733268,18.080177,13-2011.02,13,Business and Financial Operations
90,11.433268,3.2313135,13-2021.01,13,Business and Financial Operations
91,11.290614,3.664647,13-2021.02,13,Business and Financial Operations
92,11.22708,13.385395,13-2031.00,13,Business and Financial Operations
93,12.939471,11.793683,13-2041.00,13,Business and Financial Operations
94,-23.728989,28.489864,13-2051.00,13,Business and Financial Operations
95,9.023987,17.525045,13-2052.00,13,Business and Financial Operations
96,14.01289,10.524083,13-2053.00,13,Business and Financial Operations
97,12.643818,13.639448,13-2061.00,13,Business and Financial Operations
98,9.745572,18.907011,13-2071.00,13,Business and Financial Operations
99,17.253782,10.411228,13-2071.01,13,Business and Financial Operations
100,9.002747,15.64084,13-2072.00,13,Business and Financial Operations
101,5.258686,14.2225485,13-2081.00,13,Business and Financial Operations
102,15.389202,10.089082,13-2082.00,13,Business and Financial Operations
103,-26.713488,26.348883,13-2099.01,13,Business and Financial Operations
104,-5.153617,18.358055,13-2099.02,13,Business and Financial Operations
105,-0.14441334,20.795572,13-2099.04,13,Business and Financial Operations
106,-27.687674,18.282562,15-1111.00,15,Computers and Math
107,-23.289682,20.127916,15-1121.00,15,Computers and Math
108,0.38119838,28.039865,15-1121.01,15,Computers and Math
109,-21.667297,18.256323,15-1122.00,15,Computers and Math
110,-23.935263,18.4364,15-1131.00,15,Computers and Math
111,-25.769243,21.43057,15-1132.00,15,Computers and Math
112,-25.910786,19.142904,15-1133.00,15,Computers and Math
113,-24.02198,22.008053,15-1134.00,15,Computers and Math
114,-20.917467,18.194298,15-1141.00,15,Computers and Math
115,-22.219395,17.661726,15-1142.00,15,Computers and Math
116,-26.97833,19.925035,15-1143.00,15,Computers and Math
117,-21.21326,-19.59544,15-1143.01,15,Computers and Math
118,-21.691046,15.970615,15-1151.00,15,Computers and Math
119,-21.690403,16.978348,15-1152.00,15,Computers and Math
120,-23.794365,20.656061,15-1199.01,15,Computers and Math
121,-25.587234,18.61936,15-1199.02,15,Computers and Math
122,-22.503193,21.890587,15-1199.03,15,Computers and Math
123,-27.142475,-2.442146,15-1199.04,15,Computers and Math
124,-27.634472,-3.6500134,15-1199.05,15,Computers and Math
125,-26.032324,21.98566,15-1199.06,15,Computers and Math
126,-25.482292,22.6224,15-1199.07,15,Computers and Math
127,-23.588999,25.401558,15-1199.08,15,Computers and Math
128,-6.6050634,20.829287,15-1199.09,15,Computers and Math
129,-22.718895,25.453398,15-1199.10,15,Computers and Math
130,-13.741178,37.37195,15-1199.11,15,Computers and Math
131,-19.612297,20.711111,15-1199.12,15,Computers and Math
132,-25.813004,26.900852,15-2011.00,15,Computers and Math
133,-29.172312,25.04111,15-2021.00,15,Computers and Math
