,First component,Second component,SOC,Label,Occupation Category
0,29.96865,-9.456566,11-1011.00,11,Management
1,7.8765464,7.141781,11-1011.03,11,Management
2,16.335205,-10.369485,11-1021.00,11,Management
3,36.39017,2.5481336,11-2011.00,11,Management
4,35.807423,1.4890759,11-2021.00,11,Management
5,21.77454,-13.756427,11-2022.00,11,Management
6,37.793175,2.8270147,11-2031.00,11,Management
7,16.93983,-11.326346,11-3011.00,11,Management
8,-8.208624,1.5718002,11-3021.00,11,Management
9,28.359684,-26.326283,11-3031.01,11,Management
10,27.400864,-18.551807,11-3031.02,11,Management
11,10.221397,-9.980344,11-3051.00,11,Management
12,7.196352,-11.153026,11-3051.01,11,Management
13,8.318216,-7.205783,11-3051.02,11,Management
14,5.4548044,-11.100485,11-3051.03,11,Management
15,8.004431,-7.7989745,11-3051.04,11,Management
16,8.70177,-7.7385883,11-3051.06,11,Management
17,15.801335,-11.879741,11-3061.00,11,Management
18,12.968378,-11.578387,11-3071.01,11,Management
19,13.707813,-10.245894,11-3071.02,11,Management
20,13.646763,-11.149021,11-3071.03,11,Management
21,29.811813,-14.123722,11-3111.00,11,Management
22,31.268969,-8.971596,11-3121.00,11,Management
23,32.199078,-6.7370257,11-3131.00,11,Management
24,4.3349304,-13.826982,11-9013.01,11,Management
25,3.9152603,-11.617368,11-9013.02,11,Management
26,4.329485,-12.403132,11-9013.03,11,Management
27,6.2930984,-8.290434,11-9021.00,11,Management
28,28.97199,-6.3095565,11-9031.00,11,Management
29,30.2244,-6.9756336,11-9032.00,11,Management
30,31.38504,-7.735887,11-9033.00,11,Management
31,33.301994,-0.31519723,11-9039.01,11,Management
32,26.142637,-5.215915,11-9039.02,11,Management
33,6.0982013,-5.8985977,11-9041.00,11,Management
34,4.4878693,7.6995435,11-9041.01,11,Management
35,8.094967,-16.066122,11-9051.00,11,Management
36,27.449465,-7.5604033,11-9061.00,11,Management
37,17.71543,-10.66458,11-9071.00,11,Management
38,17.880024,-9.003749,11-9081.00,11,Management
39,29.567705,-11.25652,11-9111.00,11,Management
40,5.3428493,7.332119,11-9121.00,11,Management
41,35.585125,-12.725696,11-9121.01,11,Management
42,-17.821077,22.047865,11-9121.02,11,Management
43,12.08177,-10.262607,11-9131.00,11,Management
44,18.97628,-10.441193,11-9141.00,11,Management
45,29.997871,-6.416794,11-9151.00,11,Management
46,13.490106,-1.111699,11-9161.00,11,Management
47,19.76358,-22.236809,11-9199.01,11,Management
48,15.3302965,-6.1358104,11-9199.02,11,Management
49,26.870779,-20.829838,11-9199.03,11,Management
50,14.256661,-11.157098,11-9199.04,11,Management
51,13.483762,-5.1548367,11-9199.07,11,Management
52,13.88479,-5.906491,11-9199.08,11,Management
53,8.393209,-9.020749,11-9199.09,11,Management
54,7.055002,6.4470325,11-9199.10,11,Management
55,6.2808633,6.828374,11-9199.11,11,Management
56,38.72268,1.6128112,13-1011.00,13,Business and Financial Operations
57,14.10932,-13.238072,13-1021.00,13,Business and Financial Operations
58,21.317976,-17.256796,13-1022.00,13,Business and Financial Operations
59,15.272093,-12.58823,13-1023.00,13,Business and Financial Operations
60,16.224092,-21.601984,13-1031.01,13,Business and Financial Operations
61,16.095032,-21.319695,13-1031.02,13,Business and Financial Operations
62,8.048292,-32.77931,13-1032.00,13,Business and Financial Operations
63,-9.355526,20.16459,13-1041.01,13,Business and Financial Operations
64,17.119627,-22.067339,13-1041.02,13,Business and Financial Operations
65,32.56764,-9.953271,13-1041.03,13,Business and Financial Operations
66,2.7756453,0.11560328,13-1041.04,13,Business and Financial Operations
67,1.9843874,24.279264,13-1041.06,13,Business and Financial Operations
68,19.71666,-22.355265,13-1041.07,13,Business and Financial Operations
69,11.007289,-20.280878,13-1051.00,13,Business and Financial Operations
70,31.538174,-11.980944,13-1071.00,13,Business and Financial Operations
71,4.574811,-19.885176,13-1074.00,13,Business and Financial Operations
72,31.538717,-9.948539,13-1075.00,13,Business and Financial Operations
73,13.700854,-11.8573065,13-1081.00,13,Business and Financial Operations
74,-23.392035,15.85591,13-1081.01,13,Business and Financial Operations
75,13.840958,-16.927187,13-1081.02,13,Business and Financial Operations
76,20.073599,0.49715883,13-1111.00,13,Business and Financial Operations
77,23.09513,-8.029033,13-1121.00,13,Business and Financial Operations
78,37.787853,1.9138452,13-1131.00,13,Business and Financial Operations
79,28.307808,-12.305455,13-1141.00,13,Business and Financial Operations
80,33.175423,-6.100139,13-1151.00,13,Business and Financial Operations
81,19.667992,1.5290927,13-1161.00,13,Business and Financial Operations
82,10.718257,-20.64519,13-1199.01,13,Business and Financial Operations
83,-19.265438,11.040112,13-1199.02,13,Business and Financial Operations
84,16.210594,-16.17127,13-1199.03,13,Business and Financial Operations
85,18.480532,-3.3186824,13-1199.04,13,Business and Financial Operations
86,8.306153,7.7191167,13-1199.05,13,Business and Financial Operations
87,21.801142,-15.022963,13-1199.06,13,Business and Financial Operations
88,26.49818,-29.26832,13-2011.01,13,Business and Financial Operations
89,28.408983,-25.852186,13-2011.02,13,Business and Financial Operations
90,14.291051,-20.398071,13-2021.01,13,Business and Financial Operations
91,13.907672,-20.199932,13-2021.02,13,Business and Financial Operations
92,27.383596,-26.559465,13-2031.00,13,Business and Financial Operations
93,26.94812,-28.343338,13-2041.00,13,Business and Financial Operations
94,-3.1170876,3.8773763,13-2051.00,13,Business and Financial Operations
95,28.439962,-20.653978,13-2052.00,13,Business and Financial Operations
96,20.777496,-27.785345,13-2053.00,13,Business and Financial Operations
97,28.046858,-27.835749,13-2061.00,13,Business and Financial Operations
98,29.968777,-19.618504,13-2071.00,13,Business and Financial Operations
99,29.46195,-18.800434,13-2071.01,13,Business and Financial Operations
100,27.129673,-22.61531,13-2072.00,13,Business and Financial Operations
101,25.00245,-26.029142,13-2081.00,13,Business and Financial Operations
102,24.320799,-27.481207,13-2082.00,13,Business and Financial Operations
103,-5.023658,10.233911,13-2099.01,13,Business and Financial Operations
104,14.967533,-7.7012606,13-2099.02,13,Business and Financial Operations
105,18.822186,0.093940124,13-2099.04,13,Business and Financial Operations
106,-12.574409,8.660028,15-1111.00,15,Computers and Math
107,-7.7348247,6.1563272,15-1121.00,15,Computers and Math
108,10.66175,47.06989,15-1121.01,15,Computers and Math
109,-10.970418,3.836671,15-1122.00,15,Computers and Math
110,-9.91756,7.9381933,15-1131.00,15,Computers and Math
111,-8.536994,7.675653,15-1132.00,15,Computers and Math
112,-11.139252,7.6868434,15-1133.00,15,Computers and Math
113,-9.158578,6.4416375,15-1134.00,15,Computers and Math
114,-9.863667,3.9131925,15-1141.00,15,Computers and Math
115,-12.217842,4.6678777,15-1142.00,15,Computers and Math
116,-11.371852,5.37686,15-1143.00,15,Computers and Math
117,-19.530325,2.90083,15-1143.01,15,Computers and Math
118,-12.291385,3.116613,15-1151.00,15,Computers and Math
119,-18.368809,2.6610548,15-1152.00,15,Computers and Math
120,-7.9311776,6.5503435,15-1199.01,15,Computers and Math
121,-12.5116005,7.893897,15-1199.02,15,Computers and Math
122,-7.83708,2.5870526,15-1199.03,15,Computers and Math
123,-13.569662,18.238243,15-1199.04,15,Computers and Math
124,-13.66092,17.417881,15-1199.05,15,Computers and Math
125,-7.87479,8.315151,15-1199.06,15,Computers and Math
126,-7.399909,8.106591,15-1199.07,15,Computers and Math
127,19.510437,3.4284003,15-1199.08,15,Computers and Math
128,18.596014,-3.6805909,15-1199.09,15,Computers and Math
129,19.711132,3.7218935,15-1199.10,15,Computers and Math
130,35.454292,11.386249,15-1199.11,15,Computers and Math
131,-6.694673,2.799099,15-1199.12,15,Computers and Math
132,-2.4288156,4.4269385,15-2011.00,15,Computers and Math
133,-7.390615,11.0198,15-2021.00,15,Computers and Math
134,-5.783731,10.192801,15-2031.00,15,Computers and Math
135,-4.5124097,7.446127,15-2041.00,15,Computers and Math
136,-4.357271,7.6936407,15-2041.01,15,Computers and Math
137,-5.664204,5.426364,15-2041.02,15,Computers and Math
138,33.410507,16.951857,17-1011.00,17,Architechture and Engineering
139,33.444435,17.152155,17-1012.00,17,Architechture and Engineering
140,-13.594995,15.793259,17-1021.00,17,Architechture and Engineering
141,-18.290564,14.6746235,17-1022.00,17,Architechture and Engineering
142,-16.556166,15.393087,17-1022.01,17,Architechture and Engineering
143,-29.77354,21.804031,17-2011.00,17,Architechture and Engineering
144,-19.834833,25.408237,17-2021.00,17,Architechture and Engineering
145,-22.677769,26.600775,17-2031.00,17,Architechture and Engineering
146,-22.010017,24.697432,17-2041.00,17,Architechture and Engineering
147,-19.463411,18.85942,17-2051.00,17,Architechture and Engineering
148,-19.294344,18.245098,17-2051.01,17,Architechture and Engineering
149,-30.78738,19.712864,17-2061.00,17,Architechture and Engineering
150,-27.617453,17.888103,17-2071.00,17,Architechture and Engineering
151,-27.825855,21.124546,17-2072.00,17,Architechture and Engineering
152,-18.903027,7.8252616,17-2072.01,17,Architechture and Engineering
153,-18.490286,21.959124,17-2081.00,17,Architechture and Engineering
154,-19.695543,21.119076,17-2081.01,17,Architechture and Engineering
155,-5.235277,20.625544,17-2111.01,17,Architechture and Engineering
156,-19.631058,21.73266,17-2111.02,17,Architechture and Engineering
157,-6.2377963,20.783361,17-2111.03,17,Architechture and Engineering
158,-24.801033,18.967716,17-2112.00,17,Architechture and Engineering
159,-18.003717,30.669498,17-2112.01,17,Architechture and Engineering
160,-22.485104,20.017136,17-2121.01,17,Architechture and Engineering
161,-29.688976,22.9319,17-2121.02,17,Architechture and Engineering
162,-23.372952,24.753056,17-2131.00,17,Architechture and Engineering
163,-28.418613,19.695936,17-2141.00,17,Architechture and Engineering
164,-25.21148,23.763483,17-2141.01,17,Architechture and Engineering
165,-22.53942,18.795715,17-2141.02,17,Architechture and Engineering
166,-22.938522,20.734812,17-2151.00,17,Architechture and Engineering
167,-24.061193,23.122185,17-2161.00,17,Architechture and Engineering
168,-23.559305,21.307505,17-2171.00,17,Architechture and Engineering
169,-20.881235,25.343533,17-2199.01,17,Architechture and Engineering
170,-25.320482,17.626795,17-2199.02,17,Architechture and Engineering
171,-19.448385,19.743498,17-2199.03,17,Architechture and Engineering
172,-23.80438,18.32648,17-2199.04,17,Architechture and Engineering
173,-29.181059,20.968847,17-2199.05,17,Architechture and Engineering
174,-29.615461,19.901592,17-2199.06,17,Architechture and Engineering
175,-30.421286,20.785677,17-2199.07,17,Architechture and Engineering
176,-27.342127,20.347544,17-2199.08,17,Architechture and Engineering
177,-23.940643,25.405842,17-2199.09,17,Architechture and Engineering
178,-21.19101,18.181974,17-2199.10,17,Architechture and Engineering
179,-21.3073,20.969103,17-2199.11,17,Architechture and Engineering
180,-17.261303,11.385456,17-3011.01,17,Architechture and Engineering
181,-16.42153,13.043222,17-3011.02,17,Architechture and Engineering
182,-12.83499,-2.0345225,17-3012.01,17,Architechture and Engineering
183,-17.878899,12.999113,17-3012.02,17,Architechture and Engineering
184,-30.284042,17.12588,17-3013.00,17,Architechture and Engineering
185,-27.731152,13.364915,17-3021.00,17,Architechture and Engineering
186,-18.564947,13.349067,17-3022.00,17,Architechture and Engineering
187,-29.610502,13.8281975,17-3023.01,17,Architechture and Engineering
188,-28.593973,15.528827,17-3023.03,17,Architechture and Engineering
189,-22.79788,-21.427378,17-3024.00,17,Architechture and Engineering
190,-30.44024,14.0610285,17-3024.01,17,Architechture and Engineering
191,-22.643538,12.109257,17-3025.00,17,Architechture and Engineering
192,-27.073141,15.863703,17-3026.00,17,Architechture and Engineering
193,-29.252758,17.652212,17-3027.00,17,Architechture and Engineering
194,-27.046276,5.6050754,17-3027.01,17,Architechture and Engineering
195,-23.78517,12.468626,17-3029.01,17,Architechture and Engineering
196,-22.221313,17.279028,17-3029.02,17,Architechture and Engineering
197,-28.68812,16.682919,17-3029.03,17,Architechture and Engineering
198,-20.238525,6.364688,17-3029.04,17,Architechture and Engineering
199,-24.432198,16.499342,17-3029.05,17,Architechture and Engineering
200,-24.342785,17.730236,17-3029.06,17,Architechture and Engineering
201,-26.826147,17.193434,17-3029.07,17,Architechture and Engineering
202,-29.917154,14.823024,17-3029.08,17,Architechture and Engineering
203,-32.935223,4.4717927,17-3029.09,17,Architechture and Engineering
204,-32.3343,12.170702,17-3029.11,17,Architechture and Engineering
205,-32.1928,11.756689,17-3029.12,17,Architechture and Engineering
206,-17.07838,14.592627,17-3031.01,17,Architechture and Engineering
207,-13.666557,14.643416,17-3031.02,17,Architechture and Engineering
208,-17.2916,26.013536,19-1011.00,19,"Life, Physical, and Social Science"
209,-18.187023,26.14124,19-1012.00,19,"Life, Physical, and Social Science"
210,-13.900809,23.922293,19-1013.00,19,"Life, Physical, and Social Science"
211,-11.16234,22.644339,19-1020.01,19,"Life, Physical, and Social Science"
212,-6.1499605,35.059494,19-1021.00,19,"Life, Physical, and Social Science"
213,-0.37238517,34.171124,19-1022.00,19,"Life, Physical, and Social Science"
214,-11.196791,22.934471,19-1023.00,19,"Life, Physical, and Social Science"
215,-5.5731173,33.066154,19-1029.01,19,"Life, Physical, and Social Science"
216,-5.8846626,35.050446,19-1029.02,19,"Life, Physical, and Social Science"
217,-4.341042,36.50135,19-1029.03,19,"Life, Physical, and Social Science"
218,-8.330495,23.843697,19-1031.01,19,"Life, Physical, and Social Science"
219,-8.885569,24.307146,19-1031.02,19,"Life, Physical, and Social Science"
220,31.250385,34.849617,19-1031.03,19,"Life, Physical, and Social Science"
221,-9.49192,24.954666,19-1032.00,19,"Life, Physical, and Social Science"
222,0.8416928,38.02429,19-1041.00,19,"Life, Physical, and Social Science"
223,-4.108088,36.79535,19-1042.00,19,"Life, Physical, and Social Science"
224,-26.566809,27.3272,19-2011.00,19,"Life, Physical, and Social Science"
225,-26.042414,26.543343,19-2012.00,19,"Life, Physical, and Social Science"
226,-14.387614,20.789043,19-2021.00,19,"Life, Physical, and Social Science"
227,-27.302475,24.320963,19-2031.00,19,"Life, Physical, and Social Science"
228,-24.455788,24.941904,19-2032.00,19,"Life, Physical, and Social Science"
229,-11.187215,21.513922,19-2041.00,19,"Life, Physical, and Social Science"
230,-0.84273165,12.213472,19-2041.01,19,"Life, Physical, and Social Science"
231,-8.626144,23.35223,19-2041.02,19,"Life, Physical, and Social Science"
232,-0.4220451,13.027975,19-2041.03,19,"Life, Physical, and Social Science"
233,-13.147236,21.019592,19-2042.00,19,"Life, Physical, and Social Science"
234,-13.440171,21.071133,19-2043.00,19,"Life, Physical, and Social Science"
235,-13.442544,19.765574,19-2099.01,19,"Life, Physical, and Social Science"
236,-2.4310887,10.78334,19-3011.00,19,"Life, Physical, and Social Science"
237,-2.0214515,11.111919,19-3011.01,19,"Life, Physical, and Social Science"
238,19.537043,1.9165213,19-3022.00,19,"Life, Physical, and Social Science"
239,24.822529,38.73598,19-3031.01,19,"Life, Physical, and Social Science"
240,23.096704,38.580215,19-3031.02,19,"Life, Physical, and Social Science"
241,23.854776,37.84234,19-3031.03,19,"Life, Physical, and Social Science"
242,35.03685,-4.5294204,19-3032.00,19,"Life, Physical, and Social Science"
243,21.796865,39.820843,19-3039.01,19,"Life, Physical, and Social Science"
244,42.77066,33.87781,19-3041.00,19,"Life, Physical, and Social Science"
245,9.069869,8.555328,19-3051.00,19,"Life, Physical, and Social Science"
246,42.958206,35.677227,19-3091.01,19,"Life, Physical, and Social Science"
247,43.65304,36.240486,19-3091.02,19,"Life, Physical, and Social Science"
248,43.574413,36.711082,19-3092.00,19,"Life, Physical, and Social Science"
249,42.298306,-5.73419,19-3093.00,19,"Life, Physical, and Social Science"
250,42.908005,33.51536,19-3094.00,19,"Life, Physical, and Social Science"
251,-18.140984,17.64511,19-3099.01,19,"Life, Physical, and Social Science"
252,-11.864742,25.970999,19-4011.01,19,"Life, Physical, and Social Science"
253,-17.63289,-11.852214,19-4011.02,19,"Life, Physical, and Social Science"
254,-1.534683,31.340395,19-4021.00,19,"Life, Physical, and Social Science"
255,-20.772602,-22.26528,19-4031.00,19,"Life, Physical, and Social Science"
256,-15.884004,14.77369,19-4041.01,19,"Life, Physical, and Social Science"
257,-33.60367,13.302625,19-4041.02,19,"Life, Physical, and Social Science"
258,-26.05816,-1.8221428,19-4051.01,19,"Life, Physical, and Social Science"
259,-25.558939,-2.6382573,19-4051.02,19,"Life, Physical, and Social Science"
260,-4.9483433,5.65394,19-4061.00,19,"Life, Physical, and Social Science"
261,12.533487,-18.428558,19-4061.01,19,"Life, Physical, and Social Science"
262,-9.89857,22.432144,19-4091.00,19,"Life, Physical, and Social Science"
263,-9.170554,19.070341,19-4092.00,19,"Life, Physical, and Social Science"
264,-7.75805,24.804234,19-4093.00,19,"Life, Physical, and Social Science"
265,-17.57479,-11.965292,19-4099.01,19,"Life, Physical, and Social Science"
266,-12.39074,26.131626,19-4099.02,19,"Life, Physical, and Social Science"
267,-13.358171,16.326664,19-4099.03,19,"Life, Physical, and Social Science"
268,26.361523,35.599003,21-1011.00,21,Community and Social Services
269,23.96425,34.683605,21-1012.00,21,Community and Social Services
270,24.29769,36.63866,21-1013.00,21,Community and Social Services
271,25.611269,36.3263,21-1014.00,21,Community and Social Services
272,26.14487,33.798214,21-1015.00,21,Community and Social Services
273,25.295002,34.192955,21-1021.00,21,Community and Social Services
274,24.971357,35.380276,21-1022.00,21,Community and Social Services
275,25.037775,36.247322,21-1023.00,21,Community and Social Services
276,25.47777,32.517788,21-1091.00,21,Community and Social Services
277,35.219604,-17.687658,21-1092.00,21,Community and Social Services
278,34.75665,-19.13707,21-1093.00,21,Community and Social Services
279,24.722252,32.42233,21-1094.00,21,Community and Social Services
280,36.37783,33.250576,21-2011.00,21,Community and Social Services
281,30.67848,-4.8686247,21-2021.00,21,Community and Social Services
282,33.71424,-12.069784,23-1011.00,23,Legal
283,24.13246,-37.084576,23-1012.00,23,Legal
284,34.923176,-12.182125,23-1021.00,23,Legal
285,33.493656,-10.555574,23-1022.00,23,Legal
286,34.452705,-11.022675,23-1023.00,23,Legal
287,24.584131,-36.454338,23-2011.00,23,Legal
288,21.589174,-34.21734,23-2091.00,23,Legal
289,21.927307,-37.511986,23-2093.00,23,Legal
290,38.529663,27.495148,25-1011.00,25,"Education, Training, and Library"
291,33.437042,39.149475,25-1021.00,25,"Education, Training, and Library"
292,33.363388,29.26292,25-1022.00,25,"Education, Training, and Library"
293,34.988407,31.748446,25-1031.00,25,"Education, Training, and Library"
294,29.1579,48.013973,25-1032.00,25,"Education, Training, and Library"
295,31.561325,42.952934,25-1041.00,25,"Education, Training, and Library"
296,30.988546,46.155117,25-1042.00,25,"Education, Training, and Library"
297,31.494925,45.16422,25-1043.00,25,"Education, Training, and Library"
298,30.535105,45.8084,25-1051.00,25,"Education, Training, and Library"
299,30.131027,46.591568,25-1052.00,25,"Education, Training, and Library"
300,30.59772,45.24096,25-1053.00,25,"Education, Training, and Library"
301,29.636837,47.30766,25-1054.00,25,"Education, Training, and Library"
302,41.075394,35.097828,25-1061.00,25,"Education, Training, and Library"
303,40.243412,33.327766,25-1062.00,25,"Education, Training, and Library"
304,38.64415,28.146112,25-1063.00,25,"Education, Training, and Library"
305,40.90547,36.655216,25-1064.00,25,"Education, Training, and Library"
306,40.28246,30.690287,25-1065.00,25,"Education, Training, and Library"
307,36.46777,37.036007,25-1066.00,25,"Education, Training, and Library"
308,39.003307,34.992287,25-1067.00,25,"Education, Training, and Library"
309,20.705,42.235092,25-1071.00,25,"Education, Training, and Library"
310,20.545818,41.536396,25-1072.00,25,"Education, Training, and Library"
311,36.260834,36.0351,25-1081.00,25,"Education, Training, and Library"
312,36.72265,35.2341,25-1082.00,25,"Education, Training, and Library"
313,33.6053,37.041,25-1111.00,25,"Education, Training, and Library"
314,40.076756,29.85754,25-1112.00,25,"Education, Training, and Library"
315,37.25129,36.92941,25-1113.00,25,"Education, Training, and Library"
316,36.100437,31.36113,25-1121.00,25,"Education, Training, and Library"
317,38.063286,33.38887,25-1122.00,25,"Education, Training, and Library"
318,38.728123,33.103535,25-1123.00,25,"Education, Training, and Library"
319,40.99293,32.530075,25-1124.00,25,"Education, Training, and Library"
320,40.20877,34.374344,25-1125.00,25,"Education, Training, and Library"
321,39.920666,32.38628,25-1126.00,25,"Education, Training, and Library"
322,31.257172,30.018187,25-1191.00,25,"Education, Training, and Library"
323,34.161415,35.31238,25-1192.00,25,"Education, Training, and Library"
324,31.163677,37.69698,25-1193.00,25,"Education, Training, and Library"
325,31.272709,39.804176,25-1194.00,25,"Education, Training, and Library"
326,29.516235,27.366196,25-2011.00,25,"Education, Training, and Library"
327,32.348785,32.5902,25-2012.00,25,"Education, Training, and Library"
328,31.758465,31.15989,25-2021.00,25,"Education, Training, and Library"
329,32.560905,33.921238,25-2022.00,25,"Education, Training, and Library"
330,32.72274,35.500336,25-2023.00,25,"Education, Training, and Library"
331,32.75002,33.267776,25-2031.00,25,"Education, Training, and Library"
332,32.40059,37.673553,25-2032.00,25,"Education, Training, and Library"
333,30.05224,31.148401,25-2051.00,25,"Education, Training, and Library"
334,30.808504,31.582197,25-2052.00,25,"Education, Training, and Library"
335,31.643473,32.284176,25-2053.00,25,"Education, Training, and Library"
336,33.22956,34.475296,25-2054.00,25,"Education, Training, and Library"
337,16.701601,28.907583,25-2059.01,25,"Education, Training, and Library"
338,30.557322,28.744606,25-3011.00,25,"Education, Training, and Library"
339,30.003138,27.406454,25-3021.00,25,"Education, Training, and Library"
340,33.041626,29.78831,25-3099.02,25,"Education, Training, and Library"
341,41.459385,-7.8932962,25-4011.00,25,"Education, Training, and Library"
342,41.292393,-6.1323,25-4012.00,25,"Education, Training, and Library"
343,-17.313467,-27.284176,25-4013.00,25,"Education, Training, and Library"
344,40.723133,-7.9580307,25-4021.00,25,"Education, Training, and Library"
345,16.092396,-35.69711,25-4031.00,25,"Education, Training, and Library"
346,-15.339563,4.2841706,25-9011.00,25,"Education, Training, and Library"
347,31.607805,42.612736,25-9021.00,25,"Education, Training, and Library"
